expediente_mayo,expediente_septiembre,estado_procesal_mayo,estado_procesal_septiembre,cambio_status
PFC.H.A.2/001360-2023,PFC.H.A.2/001360-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001361-2023,PFC.H.A.2/001361-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001362-2023,PFC.H.A.2/001362-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001363-2023,PFC.H.A.2/001363-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001364-2023,PFC.H.A.2/001364-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001365-2023,PFC.H.A.2/001365-2023,"En Trámite","No Conciliada",Cambio
PFC.H.A.2/001366-2023,PFC.H.A.2/001366-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001367-2023,PFC.H.A.2/001367-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001368-2023,PFC.H.A.2/001368-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001369-2023,PFC.H.A.2/001369-2023,"En Trámite","No Conciliada",Cambio
PFC.H.A.2/001370-2023,PFC.H.A.2/001370-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001371-2023,PFC.H.A.2/001371-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001372-2023,PFC.H.A.2/001372-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001373-2023,PFC.H.A.2/001373-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001374-2023,PFC.H.A.2/001374-2023,"En Trámite",Improcedente,Cambio
PFC.H.A.2/001375-2023,PFC.H.A.2/001375-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001376-2023,PFC.H.A.2/001376-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001377-2023,PFC.H.A.2/001377-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001378-2023,PFC.H.A.2/001378-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001379-2023,PFC.H.A.2/001379-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001380-2023,PFC.H.A.2/001380-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001381-2023,PFC.H.A.2/001381-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001382-2023,PFC.H.A.2/001382-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001383-2023,PFC.H.A.2/001383-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001384-2023,PFC.H.A.2/001384-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001385-2023,PFC.H.A.2/001385-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001386-2023,PFC.H.A.2/001386-2023,"En Trámite",Improcedente,Cambio
PFC.H.A.2/001387-2023,PFC.H.A.2/001387-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001388-2023,PFC.H.A.2/001388-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001389-2023,PFC.H.A.2/001389-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001390-2023,PFC.H.A.2/001390-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001391-2023,PFC.H.A.2/001391-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001392-2023,PFC.H.A.2/001392-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001393-2023,PFC.H.A.2/001393-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001394-2023,PFC.H.A.2/001394-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001395-2023,PFC.H.A.2/001395-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001396-2023,PFC.H.A.2/001396-2023,"En Trámite",Improcedente,Cambio
PFC.H.A.2/001397-2023,PFC.H.A.2/001397-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001398-2023,PFC.H.A.2/001398-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001399-2023,PFC.H.A.2/001399-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001400-2023,PFC.H.A.2/001400-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001401-2023,PFC.H.A.2/001401-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001402-2023,PFC.H.A.2/001402-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001403-2023,PFC.H.A.2/001403-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001404-2023,PFC.H.A.2/001404-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001405-2023,PFC.H.A.2/001405-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001406-2023,PFC.H.A.2/001406-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001407-2023,PFC.H.A.2/001407-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001408-2023,PFC.H.A.2/001408-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001409-2023,PFC.H.A.2/001409-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001410-2023,PFC.H.A.2/001410-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001411-2023,PFC.H.A.2/001411-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001412-2023,PFC.H.A.2/001412-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001413-2023,PFC.H.A.2/001413-2023,"En Trámite","No Conciliada",Cambio
PFC.H.A.2/001414-2023,PFC.H.A.2/001414-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001415-2023,PFC.H.A.2/001415-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001416-2023,PFC.H.A.2/001416-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001417-2023,PFC.H.A.2/001417-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001418-2023,PFC.H.A.2/001418-2023,Improcedente,Improcedente,"Sin cambio"
PFC.H.A.2/001419-2023,PFC.H.A.2/001419-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001420-2023,PFC.H.A.2/001420-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001421-2023,PFC.H.A.2/001421-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001422-2023,PFC.H.A.2/001422-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001423-2023,PFC.H.A.2/001423-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001424-2023,PFC.H.A.2/001424-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001425-2023,PFC.H.A.2/001425-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001426-2023,PFC.H.A.2/001426-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001427-2023,PFC.H.A.2/001427-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001428-2023,PFC.H.A.2/001428-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001429-2023,PFC.H.A.2/001429-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001430-2023,PFC.H.A.2/001430-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001431-2023,PFC.H.A.2/001431-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001432-2023,PFC.H.A.2/001432-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001433-2023,PFC.H.A.2/001433-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001434-2023,PFC.H.A.2/001434-2023,"En Trámite",Improcedente,Cambio
PFC.H.A.2/001435-2023,PFC.H.A.2/001435-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001436-2023,PFC.H.A.2/001436-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001437-2023,PFC.H.A.2/001437-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001438-2023,PFC.H.A.2/001438-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001439-2023,PFC.H.A.2/001439-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001440-2023,PFC.H.A.2/001440-2023,"En Trámite",Cancelada,Cambio
PFC.H.A.2/001441-2023,PFC.H.A.2/001441-2023,"En Trámite","No Conciliada",Cambio
PFC.H.A.2/001442-2023,PFC.H.A.2/001442-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001443-2023,PFC.H.A.2/001443-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001444-2023,PFC.H.A.2/001444-2023,"En Trámite",Improcedente,Cambio
PFC.H.A.2/001445-2023,PFC.H.A.2/001445-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001446-2023,PFC.H.A.2/001446-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001447-2023,PFC.H.A.2/001447-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001448-2023,PFC.H.A.2/001448-2023,"En Trámite","No Conciliada",Cambio
PFC.H.A.2/001449-2023,PFC.H.A.2/001449-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001450-2023,PFC.H.A.2/001450-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001451-2023,PFC.H.A.2/001451-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001452-2023,PFC.H.A.2/001452-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001453-2023,PFC.H.A.2/001453-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001454-2023,PFC.H.A.2/001454-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001455-2023,PFC.H.A.2/001455-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001456-2023,PFC.H.A.2/001456-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001457-2023,PFC.H.A.2/001457-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001458-2023,PFC.H.A.2/001458-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001459-2023,PFC.H.A.2/001459-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001460-2023,PFC.H.A.2/001460-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001461-2023,PFC.H.A.2/001461-2023,"En Trámite",Conciliada,Cambio
